CMDLINE C:\Users\TutuWork\AppData\Local\Programs\Python\Python313\python.exe main.py
MEM 25.468750 1745540138.8813
MEM 25.468750 1745540138.9816
MEM 25.468750 1745540139.0818
MEM 25.468750 1745540139.1825
MEM 25.468750 1745540139.2829
MEM 25.468750 1745540139.3833
MEM 25.468750 1745540139.4836
MEM 25.468750 1745540139.5838
MEM 25.468750 1745540139.6846
MEM 25.468750 1745540139.7849
MEM 25.468750 1745540139.8857
MEM 25.468750 1745540139.9868
MEM 25.468750 1745540140.0878
MEM 25.468750 1745540140.1886
MEM 25.468750 1745540140.2888
MEM 25.468750 1745540140.3897
MEM 25.468750 1745540140.4904
MEM 25.468750 1745540140.5907
MEM 25.468750 1745540140.6915
MEM 25.468750 1745540140.7918
MEM 25.468750 1745540140.8927
MEM 25.468750 1745540140.9930
MEM 25.468750 1745540141.0938
MEM 25.468750 1745540141.1941
MEM 25.468750 1745540141.2949
MEM 25.468750 1745540141.3957
MEM 25.468750 1745540141.4960
MEM 25.468750 1745540141.5963
MEM 25.468750 1745540141.6970
MEM 25.468750 1745540141.7980
MEM 25.468750 1745540141.8987
MEM 25.468750 1745540141.9992
MEM 25.468750 1745540142.0995
MEM 25.468750 1745540142.2002
MEM 25.468750 1745540142.3007
MEM 25.468750 1745540142.4014
MEM 25.468750 1745540142.5016
MEM 25.468750 1745540142.6020
MEM 25.468750 1745540142.7024
MEM 25.468750 1745540142.8027
MEM 25.468750 1745540142.9031
MEM 25.468750 1745540143.0032
MEM 25.468750 1745540143.1035
MEM 25.468750 1745540143.2040
MEM 25.468750 1745540143.3050
MEM 25.468750 1745540143.4057
MEM 25.468750 1745540143.5060
MEM 25.468750 1745540143.6063
MEM 25.468750 1745540143.7065
MEM 25.468750 1745540143.8074
MEM 25.468750 1745540143.9084
MEM 25.468750 1745540144.0087
MEM 25.468750 1745540144.1095
MEM 25.468750 1745540144.2097
MEM 25.468750 1745540144.3107
MEM 25.468750 1745540144.4115
MEM 25.468750 1745540144.5117
MEM 25.468750 1745540144.6120
MEM 25.468750 1745540144.7126
MEM 25.468750 1745540144.8134
MEM 25.468750 1745540144.9136
MEM 25.468750 1745540145.0140
MEM 25.468750 1745540145.1147
MEM 25.468750 1745540145.2156
MEM 25.468750 1745540145.3160
MEM 25.468750 1745540145.4167
MEM 25.468750 1745540145.5171
MEM 25.468750 1745540145.6177
MEM 25.468750 1745540145.7181
MEM 25.468750 1745540145.8188
MEM 25.468750 1745540145.9195
MEM 25.468750 1745540146.0197
MEM 25.468750 1745540146.1206
MEM 25.468750 1745540146.2211
MEM 25.468750 1745540146.3215
MEM 25.468750 1745540146.4217
MEM 25.468750 1745540146.5226
MEM 25.468750 1745540146.6230
MEM 25.468750 1745540146.7234
MEM 25.468750 1745540146.8237
MEM 25.468750 1745540146.9246
MEM 25.468750 1745540147.0253
MEM 25.468750 1745540147.1256
MEM 25.468750 1745540147.2263
MEM 25.468750 1745540147.3265
MEM 25.468750 1745540147.4266
MEM 25.468750 1745540147.5269
MEM 25.468750 1745540147.6277
MEM 25.468750 1745540147.7279
MEM 25.468750 1745540147.8286
MEM 25.468750 1745540147.9288
MEM 25.468750 1745540148.0295
MEM 25.468750 1745540148.1298
MEM 25.468750 1745540148.2300
MEM 25.468750 1745540148.3305
MEM 25.468750 1745540148.4314
MEM 25.468750 1745540148.5319
MEM 25.468750 1745540148.6327
